session_or_task_id,source_path,model_id,start_timestamp,end_timestamp,month,task_or_role,evidence_field
audit-conceptual-model,attempts/78209e3dbc67/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-conceptual-model,attempts:pi/state.json:route.model
finish-bounded-worktree-storage-safety,attempts/092af095cf04/pi,gpt-5.6-sol,2026-08-21T09:00:00,,2026-08,finish-bounded-worktree-storage-safety,attempts:pi/state.json:route.model
project-local-pi-e2e,attempts/e62c75219433/pi,glm,2026-09-04T21:00:00,,2026-09,project-local-pi-e2e,attempts:pi/state.json:route.model
worker-owned-landing-turns,attempts/b6ec25f04535/pi,glm,2026-09-04T21:00:00,,2026-09,worker-owned-landing-turns,attempts:pi/state.json:route.model
close-pi-execution-release-candidate,attempts/cbbcd17963e4/pi,gpt-5.6-sol,2026-09-15T15:00:00,,2026-09,close-pi-execution-release-candidate,attempts:pi/state.json:route.model
finish-pi-project-local-config,attempts/1033581adde9/pi,gpt-5.6-sol,2026-09-06T21:00:00,,2026-09,finish-pi-project-local-config,attempts:pi/state.json:route.model
project-local-pi-core,attempts/62816c708745/pi,gpt-5.6-sol,2026-09-03T22:00:00,,2026-09,project-local-pi-core,attempts:pi/state.json:route.model
restore-adaptive-assignment-loop,attempts/d699e2442c41/pi,gpt-5.6-sol,2026-09-04T01:00:00,,2026-09,restore-adaptive-assignment-loop,attempts:pi/state.json:route.model
restore-bounded-scored-evaluation,attempts/797aeb406803/pi,gpt-5.6-sol,,,,restore-bounded-scored-evaluation,attempts:pi/state.json:route.model
fix-completion-help-after-review,attempts/3aaa959578f0/pi,gpt-5.6-sol,2026-09-14T18:00:00,,2026-09,fix-completion-help-after-review,attempts:pi/state.json:route.model
restore-bounded-scored-evaluation,attempts/4f62836e50a1/pi,gpt-5.6-sol,2026-08-09T20:00:00,,2026-08,restore-bounded-scored-evaluation,attempts:pi/state.json:route.model
close-pi-config-acceptance,attempts/0ea9275e3547/pi,gpt-5.6-sol,2026-09-09T19:00:00,,2026-09,close-pi-config-acceptance,attempts:pi/state.json:route.model
design-adaptive-agency-loop,attempts/c6a28be22a45/pi,gpt-5.6-sol,2026-09-03T23:00:00,,2026-09,design-adaptive-agency-loop,attempts:pi/state.json:route.model
smoke-pin-completion,attempts/71bbef0838ca/pi,glm,2026-09-16T15:00:00,,2026-09,smoke-pin-completion,attempts:pi/state.json:route.model
fix-service-start-readiness,attempts/4529fe872eaf/pi,gpt-5.6-sol,2026-09-04T00:00:00,,2026-09,fix-service-start-readiness,attempts:pi/state.json:route.model
fix-smoke-pi-process-leaks,attempts/cdb7b5ead650/pi,gpt-5.6-sol,2026-09-10T16:00:00,,2026-09,fix-smoke-pi-process-leaks,attempts:pi/state.json:route.model
route-verification-probe,attempts/2662cb2017d0/pi,glm,2026-09-16T01:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
unify-project-route-authority,attempts/4886b4d3c30c/pi,gpt-5.6-sol,2026-09-13T01:00:00,,2026-09,unify-project-route-authority,attempts:pi/state.json:route.model
refresh-build-baseline-admission,attempts/8aedeb115538/pi,gpt-5.6-sol,2026-09-13T06:00:00,,2026-09,refresh-build-baseline-admission,attempts:pi/state.json:route.model
fix-smoke-pi-process-leaks,attempts/97edf500abab/pi,gpt-5.6-sol,,,,fix-smoke-pi-process-leaks,attempts:pi/state.json:route.model
fix-semantic-completion-help,attempts/df92075e37b7/pi,gpt-5.6-sol,2026-09-15T01:00:00,,2026-09,fix-semantic-completion-help,attempts:pi/state.json:route.model
pi-opaque-execution-assignment,attempts/735ae5d3ac25/pi,gpt-5.6-sol,2026-09-14T20:00:00,,2026-09,pi-opaque-execution-assignment,attempts:pi/state.json:route.model
audit-sync-roadmap,attempts/7ed1c8eaf751/pi,gpt-5.6-sol,2026-08-08T20:00:00,,2026-08,audit-sync-roadmap,attempts:pi/state.json:route.model
repair-service-start-ci,attempts/670466406359/pi,gpt-5.6-sol,2026-09-14T17:00:00,,2026-09,repair-service-start-ci,attempts:pi/state.json:route.model
worker-owned-landing-turns,attempts/a8645920e1c4/pi,glm,,,,worker-owned-landing-turns,attempts:pi/state.json:route.model
audit-testing,attempts/17d537ac5e6c/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-testing,attempts:pi/state.json:route.model
prove-pi-process-wakeup,attempts/739a882e8f69/pi,gpt-5.6-sol,2026-09-14T19:00:00,,2026-09,prove-pi-process-wakeup,attempts:pi/state.json:route.model
completion-classification-precedence,attempts/a6236c2d8abd/pi,gpt-5.6-sol,2026-08-17T07:00:00,,2026-08,completion-classification-precedence,attempts:pi/state.json:route.model
restore-trust-first-local-worker-control,attempts/f0752e27c101/pi,gpt-5.6-sol,2026-08-08T17:00:00,,2026-08,restore-trust-first-local-worker-control,attempts:pi/state.json:route.model
prepare-completion-storage-upstream,attempts/aa56bb596a49/pi,gpt-5.6-sol,2026-08-29T14:00:00,,2026-08,prepare-completion-storage-upstream,attempts:pi/state.json:route.model
provider-backoff-planner,attempts/4d5e37117b4d/pi,gpt-5.6-sol,2026-09-09T21:00:00,,2026-09,provider-backoff-planner,attempts:pi/state.json:route.model
fix-smoke-pi-process-leaks,attempts/00cbd9235103/pi,gpt-5.6-sol,2026-09-10T01:00:00,,2026-09,fix-smoke-pi-process-leaks,attempts:pi/state.json:route.model
integrate-maze-free-recovery,attempts/70d78b33abfd/pi,gpt-5.6-sol,2026-09-04T18:00:00,,2026-09,integrate-maze-free-recovery,attempts:pi/state.json:route.model
first-user-release-rehearsal,attempts/b339c2081c0b/pi,gpt-5.6-sol,2026-09-12T17:00:00,,2026-09,first-user-release-rehearsal,attempts:pi/state.json:route.model
completion-blockers-wait-state,attempts/5d9b6019741e/pi,gpt-5.6-sol,2026-08-17T07:00:00,,2026-08,completion-blockers-wait-state,attempts:pi/state.json:route.model
setup-route-activation-ux,attempts/0695008ed7f2/pi,gpt-5.6-sol,2026-08-08T13:00:00,,2026-08,setup-route-activation-ux,attempts:pi/state.json:route.model
audit-evaluation-evolvability-cutover,attempts/d9145f58fba5/pi,gpt-5.6-sol,2026-08-08T14:00:00,,2026-08,audit-evaluation-evolvability-cutover,attempts:pi/state.json:route.model
fix-completion-landing-maze,attempts/b0ca9ee83d54/pi,gpt-5.6-sol,2026-09-03T23:00:00,,2026-09,fix-completion-landing-maze,attempts:pi/state.json:route.model
simplify-completion-repair-loop,attempts/84ba6b5179bc/pi,gpt-5.6-sol,2026-09-12T16:00:00,,2026-09,simplify-completion-repair-loop,attempts:pi/state.json:route.model
restore-reliable-main-baseline,attempts/00e8c63ea2f1/pi,gpt-5.6-sol,2026-09-14T17:00:00,,2026-09,restore-reliable-main-baseline,attempts:pi/state.json:route.model
bind-genuine-flip,attempts/991ae2e1bb0e/pi,gpt-5.6-sol,2026-09-05T00:00:00,,2026-09,bind-genuine-flip,attempts:pi/state.json:route.model
route-verification-probe,attempts/789e8b42a276/pi,glm,2026-09-16T02:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
prepare-completion-storage-upstream,attempts/764b204ec310/pi,gpt-5.6-sol,2026-08-30T12:00:00,,2026-08,prepare-completion-storage-upstream,attempts:pi/state.json:route.model
fix-retry-episode-usage,attempts/8ce3b76cc8b1/pi,gpt-5.6-sol,2026-09-15T02:00:00,,2026-09,fix-retry-episode-usage,attempts:pi/state.json:route.model
harden-bounded-worktree-build-storage,attempts/f53818998d42/pi,gpt-5.6-sol,2026-08-19T13:00:00,,2026-08,harden-bounded-worktree-build-storage,attempts:pi/state.json:route.model
project-local-pi-cli,attempts/5ad107f032be/pi,gpt-5.6-sol,2026-09-04T00:00:00,,2026-09,project-local-pi-cli,attempts:pi/state.json:route.model
audit-draft-synthesis,attempts/20f33ac4d8ba/pi,gpt-5.6-sol,2026-08-09T05:00:00,,2026-08,audit-draft-synthesis,attempts:pi/state.json:route.model
prove-pi-process-wakeup,attempts/3f6d7737030a/pi,gpt-5.6-sol,2026-09-14T02:00:00,,2026-09,prove-pi-process-wakeup,attempts:pi/state.json:route.model
audit-independent-review,attempts/0048679ee7d2/pi,gpt-5.6-sol,2026-08-09T10:00:00,,2026-08,audit-independent-review,attempts:pi/state.json:route.model
provider-backoff-contract,attempts/e451365e4573/pi,gpt-5.6-sol,2026-09-09T20:00:00,,2026-09,provider-backoff-contract,attempts:pi/state.json:route.model
audit-charter,attempts/9ca15d009395/pi,gpt-5.6-sol,2026-08-08T09:00:00,,2026-08,audit-charter,attempts:pi/state.json:route.model
audit-federation,attempts/28a5a50115ee/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-federation,attempts:pi/state.json:route.model
implement-adaptive-agency-ledger,attempts/4db2172a304b/pi,gpt-5.6-sol,2026-09-04T00:00:00,,2026-09,implement-adaptive-agency-ledger,attempts:pi/state.json:route.model
audit-core-synthesis,attempts/a539a882025b/pi,gpt-5.6-sol,2026-08-08T14:00:00,,2026-08,audit-core-synthesis,attempts:pi/state.json:route.model
fix-quality-pass-scoped-batch-mutation,attempts/97d52c727e1d/pi,gpt-5.6-sol,2026-08-08T17:00:00,,2026-08,fix-quality-pass-scoped-batch-mutation,attempts:pi/state.json:route.model
completion-review-candidate-budget,attempts/c3a1ce6d4adc/pi,gpt-5.6-sol,2026-08-17T07:00:00,,2026-08,completion-review-candidate-budget,attempts:pi/state.json:route.model
provider-backoff-contract,attempts/19b36602c5f0/pi,gpt-5.6-sol,2026-08-17T07:00:00,,2026-08,provider-backoff-contract,attempts:pi/state.json:route.model
audit-final-synthesis,attempts/780343f073cc/pi,gpt-5.6-sol,2026-08-09T11:00:00,,2026-08,audit-final-synthesis,attempts:pi/state.json:route.model
project-local-pi-migrate,attempts/433eef808c93/pi,glm,2026-09-04T20:00:00,,2026-09,project-local-pi-migrate,attempts:pi/state.json:route.model
restore-reliable-main-baseline,attempts/19ddacef62d0/pi,gpt-5.6-sol,2026-09-14T17:00:00,,2026-09,restore-reliable-main-baseline,attempts:pi/state.json:route.model
migrate-config-hygiene,attempts/ecea9c252e19/pi,glm,2026-09-16T15:00:00,,2026-09,migrate-config-hygiene,attempts:pi/state.json:route.model
prune-stale-worktrees,attempts/4d7a71dd90e8/pi,glm,2026-09-16T15:00:00,,2026-09,prune-stale-worktrees,attempts:pi/state.json:route.model
provider-backoff-contract,attempts/2e8a29c99dd0/pi,gpt-5.6-sol,2026-08-16T14:00:00,,2026-08,provider-backoff-contract,attempts:pi/state.json:route.model
fix-first-user-landing-ux,attempts/36c4604813a3/pi,gpt-5.6-sol,2026-09-15T02:00:00,,2026-09,fix-first-user-landing-ux,attempts:pi/state.json:route.model
audit-trust-synthesis,attempts/a4b1c193aec1/pi,gpt-5.6-sol,2026-08-08T11:00:00,,2026-08,audit-trust-synthesis,attempts:pi/state.json:route.model
adaptive-agency-loop-e2e,attempts/2eb5029207cd/pi,gpt-5.6-sol,2026-09-04T02:00:00,,2026-09,adaptive-agency-loop-e2e,attempts:pi/state.json:route.model
prune-dormant-local-lifecycle,attempts/d15c4b0bd2c2/pi,gpt-5.6-sol,2026-08-09T14:00:00,,2026-08,prune-dormant-local-lifecycle,attempts:pi/state.json:route.model
fix-opaque-pi-negative-admission,attempts/92a0d9661d80/pi,gpt-5.6-sol,2026-09-15T04:00:00,,2026-09,fix-opaque-pi-negative-admission,attempts:pi/state.json:route.model
route-verification-probe,attempts/3161e27ac527/pi,glm,2026-09-16T02:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
genuine-flip-v2-seed,attempts/68c94db15579/pi,gpt-5.6-sol,2026-09-05T03:00:00,,2026-09,genuine-flip-v2-seed,attempts:pi/state.json:route.model
audit-drift-register,attempts/acd3a463a76d/pi,gpt-5.6-sol,2026-08-08T15:00:00,,2026-08,audit-drift-register,attempts:pi/state.json:route.model
route-verification-probe,attempts/b4f5ffba8059/pi,glm,2026-09-16T01:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
preserve-review-identity-across-restart,attempts/1404a22e61db/pi,gpt-5.6-sol,2026-08-10T05:00:00,,2026-08,preserve-review-identity-across-restart,attempts:pi/state.json:route.model
audit-product-synthesis,attempts/5a8c4b19cd60/pi,gpt-5.6-sol,2026-08-08T11:00:00,,2026-08,audit-product-synthesis,attempts:pi/state.json:route.model
repair-landing-review-rejection,attempts/b716236a6ef2/pi,gpt-5.6-sol,2026-09-04T23:00:00,,2026-09,repair-landing-review-rejection,attempts:pi/state.json:route.model
project-local-pi-design,attempts/7e6d78db1e4e/pi,gpt-5.6-sol,2026-09-03T21:00:00,,2026-09,project-local-pi-design,attempts:pi/state.json:route.model
harden-retired-evaluation-cutover,attempts/753dbe17da6c/pi,gpt-5.6-sol,2026-09-04T16:00:00,,2026-09,harden-retired-evaluation-cutover,attempts:pi/state.json:route.model
completion-classification-precedence,attempts/ddaedcab79b8/pi,gpt-5.6-sol,2026-08-17T07:00:00,,2026-08,completion-classification-precedence,attempts:pi/state.json:route.model
restore-reliable-main-baseline,attempts/79a501d904f4/pi,gpt-5.6-sol,2026-09-14T15:00:00,,2026-09,restore-reliable-main-baseline,attempts:pi/state.json:route.model
fix-pi-accounting-review-visibility,attempts/690ec4d2b115/pi,gpt-5.6-sol,2026-08-08T14:00:00,,2026-08,fix-pi-accounting-review-visibility,attempts:pi/state.json:route.model
audit-charter,attempts/9fd31b5a38f3/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-charter,attempts:pi/state.json:route.model
restore-main-ci-canary,attempts/768f8af59334/pi,gpt-5.6-sol,2026-09-09T19:00:00,,2026-09,restore-main-ci-canary,attempts:pi/state.json:route.model
completion-review-candidate-budget,attempts/002086594d6d/pi,gpt-5.6-sol,2026-08-17T07:00:00,,2026-08,completion-review-candidate-budget,attempts:pi/state.json:route.model
audit-orchestration,attempts/3035f9a151aa/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-orchestration,attempts:pi/state.json:route.model
fix-smoke-pi-process-leaks,attempts/702910877945/pi,gpt-5.6-sol,,,,fix-smoke-pi-process-leaks,attempts:pi/state.json:route.model
repair-opaque-pi-launch-contract,attempts/fffe7e0786f4/pi,gpt-5.6-sol,2026-09-15T02:00:00,,2026-09,repair-opaque-pi-launch-contract,attempts:pi/state.json:route.model
bridge-terminal-outcomes-agency,attempts/0ebeecc49897/pi,gpt-5.6-sol,2026-08-09T13:00:00,,2026-08,bridge-terminal-outcomes-agency,attempts:pi/state.json:route.model
audit-operations-ux,attempts/cdb6a2d1adc4/pi,gpt-5.6-sol,2026-08-08T11:00:00,,2026-08,audit-operations-ux,attempts:pi/state.json:route.model
audit-agency-chat,attempts/29a4817a33dd/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-agency-chat,attempts:pi/state.json:route.model
audit-sync-roadmap,attempts/c3b70daf89c2/pi,gpt-5.6-sol,2026-08-08T15:00:00,,2026-08,audit-sync-roadmap,attempts:pi/state.json:route.model
restart-validated-stigmergic-service,attempts/1db7f20ad584/pi,gpt-5.6-sol,2026-08-10T00:00:00,,2026-08,restart-validated-stigmergic-service,attempts:pi/state.json:route.model
project-local-build-scratch,attempts/b5879980ff0b/pi,gpt-5.6-sol,2026-09-03T21:00:00,,2026-09,project-local-build-scratch,attempts:pi/state.json:route.model
land-bounded-worktree-build-storage,attempts/c8cf9009db77/pi,gpt-5.6-sol,2026-08-17T13:00:00,,2026-08,land-bounded-worktree-build-storage,attempts:pi/state.json:route.model
audit-documentation,attempts/b2f6866d5014/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-documentation,attempts:pi/state.json:route.model
route-verification-probe,attempts/ecb42845ed97/pi,glm,2026-09-16T02:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
audit-model-plane,attempts/c36c71c87c07/pi,gpt-5.6-sol,2026-08-08T13:00:00,,2026-08,audit-model-plane,attempts:pi/state.json:route.model
audit-code-architecture,attempts/ba447835b3c2/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-code-architecture,attempts:pi/state.json:route.model
validate-stigmergic-loop,attempts/2e4501aa5944/pi,gpt-5.6-sol,2026-08-09T23:00:00,,2026-08,validate-stigmergic-loop,attempts:pi/state.json:route.model
audit-model-plane,attempts/cd1e540a9f9c/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-model-plane,attempts:pi/state.json:route.model
fix-retired-evaluation-cutover,attempts/63b316db8407/pi,gpt-5.6-sol,2026-09-03T22:00:00,,2026-09,fix-retired-evaluation-cutover,attempts:pi/state.json:route.model
fix-completion-landing-maze,attempts/0f11cca53d84/pi,gpt-5.6-sol,2026-09-03T21:00:00,,2026-09,fix-completion-landing-maze,attempts:pi/state.json:route.model
verify-repaired-pi-execution,attempts/026ed490824e/pi,gpt-5.6-sol,2026-09-15T04:00:00,,2026-09,verify-repaired-pi-execution,attempts:pi/state.json:route.model
repair-service-start-ci,attempts/b72b4acbefdf/pi,gpt-5.6-sol,2026-09-14T18:00:00,,2026-09,repair-service-start-ci,attempts:pi/state.json:route.model
fix-review-activity-projection,attempts/7b9d3dd29829/pi,gpt-5.6-sol,2026-08-09T11:00:00,,2026-08,fix-review-activity-projection,attempts:pi/state.json:route.model
completion-resilience-e2e,attempts/67d328c3210d/pi,gpt-5.6-sol,2026-08-17T09:00:00,,2026-08,completion-resilience-e2e,attempts:pi/state.json:route.model
route-verification-probe,attempts/6ab72da272a9/pi,glm,2026-09-16T02:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
fix-pi-review-context-budget,attempts/cd3db8cc4846/pi,gpt-5.6-sol,2026-09-04T22:00:00,,2026-09,fix-pi-review-context-budget,attempts:pi/state.json:route.model
first-user-release-rehearsal,attempts/afd2e06ef09f/pi,gpt-5.6-sol,2026-09-15T00:00:00,,2026-09,first-user-release-rehearsal,attempts:pi/state.json:route.model
route-verification-probe,attempts/8cd16389af09/pi,glm,2026-09-15T23:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
fix-completion-help-after-review,attempts/5fc2587648f7/pi,gpt-5.6-sol,2026-09-13T11:00:00,,2026-09,fix-completion-help-after-review,attempts:pi/state.json:route.model
completion-blockers-wait-state,attempts/159509554baf/pi,gpt-5.6-sol,2026-08-17T07:00:00,,2026-08,completion-blockers-wait-state,attempts:pi/state.json:route.model
stabilize-explicit-selection-release-gate,attempts/8a3511ebc032/pi,gpt-5.6-sol,2026-09-15T16:00:00,,2026-09,stabilize-explicit-selection-release-gate,attempts:pi/state.json:route.model
project-local-pi-migrate,attempts/bc4568bc3548/pi,glm,2026-09-04T18:00:00,,2026-09,project-local-pi-migrate,attempts:pi/state.json:route.model
audit-review-exec-pilot,attempts/673e54692001/pi,gpt-5.6-sol,2026-08-08T10:00:00,,2026-08,audit-review-exec-pilot,attempts:pi/state.json:route.model
simplify-completion-repair-loop,attempts/d0eccbb98a17/pi,gpt-5.6-sol,2026-09-10T19:00:00,,2026-09,simplify-completion-repair-loop,attempts:pi/state.json:route.model
provider-backoff-e2e,attempts/95a0a383ae0c/pi,gpt-5.6-sol,2026-09-10T00:00:00,,2026-09,provider-backoff-e2e,attempts:pi/state.json:route.model
env-probe-do,attempts/e59de18431d1/pi,glm,2026-09-16T01:00:00,,2026-09,env-probe-do,attempts:pi/state.json:route.model
bind-completion-validation-evidence,attempts/6298b4d383f9/pi,gpt-5.6-sol,2026-08-09T21:00:00,,2026-08,bind-completion-validation-evidence,attempts:pi/state.json:route.model
genuine-flip-v2-canary,attempts/1226ebfc81e5/pi,gpt-5.6-sol,2026-09-05T03:00:00,,2026-09,genuine-flip-v2-canary,attempts:pi/state.json:route.model
verify-pi-execution-boundary,attempts/aa48e7168c40/pi,gpt-5.6-sol,2026-09-14T21:00:00,,2026-09,verify-pi-execution-boundary,attempts:pi/state.json:route.model
fix-smoke-pi-process-leaks,attempts/a1f07105597c/pi,gpt-5.6-sol,2026-09-10T15:00:00,,2026-09,fix-smoke-pi-process-leaks,attempts:pi/state.json:route.model
fix-build-admission-default-ui,attempts/65e620b63035/pi,gpt-5.6-sol,2026-08-08T18:00:00,,2026-08,fix-build-admission-default-ui,attempts:pi/state.json:route.model
fix-first-user-exact-route,attempts/2a873059f608/pi,gpt-5.6-sol,2026-09-15T01:00:00,,2026-09,fix-first-user-exact-route,attempts:pi/state.json:route.model
route-verification-probe,attempts/8c8ac8c28225/pi,glm,2026-09-15T23:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
audit-sync-roadmap,log/operations.jsonl,gpt-5.6-sol,2026-08-08T20:52:48.639153226+00:00,,2026-08,retry,log/operations.jsonl
provider-backoff-contract,log/operations.jsonl,gpt-5.6-sol,2026-08-17T07:28:14.120538614+00:00,,2026-08,retry,log/operations.jsonl
completion-classification-precedence,log/operations.jsonl,gpt-5.6-sol,2026-08-17T07:47:39.375017650+00:00,,2026-08,retry,log/operations.jsonl
completion-blockers-wait-state,log/operations.jsonl,gpt-5.6-sol,2026-08-17T07:47:39.490026122+00:00,,2026-08,retry,log/operations.jsonl
completion-review-candidate-budget,log/operations.jsonl,gpt-5.6-sol,2026-08-17T07:47:39.533368526+00:00,,2026-08,retry,log/operations.jsonl
fix-smoke-pi-process-leaks,log/operations.jsonl,gpt-5.6-sol,2026-08-17T08:14:25.719678520+00:00,,2026-08,retry,log/operations.jsonl
completion-resilience-e2e,log/operations.jsonl,gpt-5.6-sol,2026-08-17T13:29:34.382720842+00:00,,2026-08,retry,log/operations.jsonl
harden-bounded-worktree-build-storage,log/operations.jsonl,gpt-5.6-sol,2026-08-19T13:43:51.092378498+00:00,,2026-08,retry,log/operations.jsonl
harden-bounded-worktree-build-storage,log/operations.jsonl,gpt-5.6-sol,2026-08-19T13:44:33.395420764+00:00,,2026-08,retry,log/operations.jsonl
prepare-completion-storage-upstream,log/operations.jsonl,gpt-5.6-sol,2026-08-30T12:15:41.641433840+00:00,,2026-08,retry,log/operations.jsonl
worker-owned-landing-turns,log/operations.jsonl,gpt-5.6-sol,2026-09-04T21:45:28.692468828+00:00,,2026-09,retry,log/operations.jsonl
fix-smoke-pi-process-leaks,log/operations.jsonl,gpt-5.6-sol,2026-09-09T20:39:25.510276050+00:00,,2026-09,retry,log/operations.jsonl
provider-backoff-contract,log/operations.jsonl,gpt-5.6-sol,2026-09-09T20:39:25.707298728+00:00,,2026-09,retry,log/operations.jsonl
fix-smoke-pi-process-leaks,log/operations.jsonl,gpt-5.6-sol,2026-09-10T15:03:48.574669052+00:00,,2026-09,retry,log/operations.jsonl
fix-smoke-pi-process-leaks,log/operations.jsonl,gpt-5.6-sol,2026-09-10T16:28:00.263351803+00:00,,2026-09,retry,log/operations.jsonl
simplify-completion-repair-loop,log/operations.jsonl,gpt-5.6-sol,2026-09-12T16:54:25.145854437+00:00,,2026-09,retry,log/operations.jsonl
simplify-completion-repair-loop,log/operations.jsonl,gpt-5.6-sol,2026-09-12T16:55:37.738535307+00:00,,2026-09,retry,log/operations.jsonl
fix-completion-help-after-review,log/operations.jsonl,gpt-5.6-sol,2026-09-14T14:59:45.768140136+00:00,,2026-09,retry,log/operations.jsonl
prove-pi-process-wakeup,log/operations.jsonl,gpt-5.6-sol,2026-09-14T15:00:01.374554929+00:00,,2026-09,retry,log/operations.jsonl
first-user-release-rehearsal,log/operations.jsonl,gpt-5.6-sol,2026-09-14T15:00:01.726576613+00:00,,2026-09,retry,log/operations.jsonl
restore-reliable-main-baseline,log/operations.jsonl,gpt-5.6-sol,2026-09-14T17:25:04.025818485+00:00,,2026-09,retry,log/operations.jsonl
